Id,Id2,Geography,Year,Estimate; Median gross rent as a percentage of household income,Margin of Error; Median gross rent as a percentage of household income
0500000US06001,6001,"Alameda County, California",2013,31.6,0.8
0500000US06007,6007,"Butte County, California",2013,36,2.7
0500000US06013,6013,"Contra Costa County, California",2013,32.4,1.2
0500000US06017,6017,"El Dorado County, California",2013,32.4,4.7
0500000US06019,6019,"Fresno County, California",2013,35,1.5
0500000US06023,6023,"Humboldt County, California",2013,36,5.8
0500000US06025,6025,"Imperial County, California",2013,30.7,3.5
0500000US06029,6029,"Kern County, California",2013,33.1,1.4
0500000US06031,6031,"Kings County, California",2013,30.1,3
0500000US06033,6033,"Lake County, California",2013,43,6.4
0500000US06037,6037,"Los Angeles County, California",2013,35.2,0.4
0500000US06039,6039,"Madera County, California",2013,31.7,3.7
0500000US06041,6041,"Marin County, California",2013,31,2.4
0500000US06045,6045,"Mendocino County, California",2013,33.5,5.4
0500000US06047,6047,"Merced County, California",2013,32.5,2.8
0500000US06053,6053,"Monterey County, California",2013,34.1,1.8
0500000US06055,6055,"Napa County, California",2013,32,2
0500000US06057,6057,"Nevada County, California",2013,37.4,6.1
0500000US06059,6059,"Orange County, California",2013,34.6,0.8
0500000US06061,6061,"Placer County, California",2013,31.2,2
0500000US06065,6065,"Riverside County, California",2013,36.3,1.2
0500000US06067,6067,"Sacramento County, California",2013,33.2,1.2
0500000US06071,6071,"San Bernardino County, California",2013,34.8,1
0500000US06073,6073,"San Diego County, California",2013,33.5,0.6
0500000US06075,6075,"San Francisco County, California",2013,27.7,0.7
0500000US06077,6077,"San Joaquin County, California",2013,35.6,1.7
0500000US06079,6079,"San Luis Obispo County, California",2013,34.5,2.3
0500000US06081,6081,"San Mateo County, California",2013,30.1,1.1
0500000US06083,6083,"Santa Barbara County, California",2013,33.7,1.4
0500000US06085,6085,"Santa Clara County, California",2013,29.5,0.7
0500000US06087,6087,"Santa Cruz County, California",2013,38.3,2.6
0500000US06089,6089,"Shasta County, California",2013,36.4,4.6
0500000US06095,6095,"Solano County, California",2013,35.2,1.9
0500000US06097,6097,"Sonoma County, California",2013,33.6,1.3
0500000US06099,6099,"Stanislaus County, California",2013,35.2,2
0500000US06101,6101,"Sutter County, California",2013,34.5,2.7
0500000US06107,6107,"Tulare County, California",2013,34.3,2
0500000US06111,6111,"Ventura County, California",2013,34,1.3
0500000US06113,6113,"Yolo County, California",2013,33,3.2
0500000US06115,6115,"Yuba County, California",2013,39.2,6
0500000US06001,6001,"Alameda County, California",2012,31.5,0.8
0500000US06007,6007,"Butte County, California",2012,37.5,2.5
0500000US06013,6013,"Contra Costa County, California",2012,33.2,1.1
0500000US06017,6017,"El Dorado County, California",2012,30.9,2.5
0500000US06019,6019,"Fresno County, California",2012,35.2,1.5
0500000US06023,6023,"Humboldt County, California",2012,38.3,4.3
0500000US06025,6025,"Imperial County, California",2012,34.4,4.6
0500000US06029,6029,"Kern County, California",2012,33.5,1.6
0500000US06031,6031,"Kings County, California",2012,29.5,3.3
0500000US06033,6033,"Lake County, California",2012,39.9,6.4
0500000US06037,6037,"Los Angeles County, California",2012,35.5,0.4
0500000US06039,6039,"Madera County, California",2012,37.3,2.8
0500000US06041,6041,"Marin County, California",2012,32.3,3.3
0500000US06045,6045,"Mendocino County, California",2012,37.8,3.6
0500000US06047,6047,"Merced County, California",2012,33.7,3.4
0500000US06053,6053,"Monterey County, California",2012,33.4,1.5
0500000US06055,6055,"Napa County, California",2012,30.7,3
0500000US06057,6057,"Nevada County, California",2012,33.6,4.1
0500000US06059,6059,"Orange County, California",2012,33.9,0.7
0500000US06061,6061,"Placer County, California",2012,32.6,2.4
0500000US06065,6065,"Riverside County, California",2012,35.6,1.2
0500000US06067,6067,"Sacramento County, California",2012,34.5,1.1
